CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE02
EVENTNBR = 1282
STNNBR = 49
CASTNO = 23
CASTTYPE = downcast
BOTTOM_DATE = 20170205
BOTTOM_TIME = 0259
BOTTOM_LATITUDE = -67.100515
BOTTOM_LONGITUDE = 167.386651666667
BOTTOM_DEPTH = 1002.479
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,10.0,2,9.884,0.4028,4,34.0882,4,1027.396,4,1449.92,4,251.325,4,346.7869,4,0.014193320982405248,4,-999,4,0.009956579842540728,4,-999,4,-6879.485161307389,9,104.48,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,11.0,2,10.891,0.3897,4,34.0852,4,1027.3987,4,1449.88,4,271.092,4,346.91243,4,0.015143189887802971,4,-999,4,0.01041408238403432,4,-999,4,-6879.485161329227,9,92.903,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,12.0,2,11.885,0.384,4,34.0808,4,1027.4002,4,1449.86,4,311.328,4,346.97535,4,0.014689720504734554,4,-999,4,0.011088728065654932,4,-999,4,-6879.485161330894,9,89.053,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,13.0,2,12.874,0.3836,4,34.0627,4,1027.391,4,1449.85,4,304.75,4,347.02809,4,0.019532012883610655,4,-999,4,0.014119171448863372,4,-999,4,-6879.485161285926,9,83.246,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,14.0,2,13.861,0.3687,2,34.0684,2,1027.4005,2,1449.81,2,307.114,1,347.1467,1,0.01594929523497684,2,-999,2,0.014166499607975986,2,-999,2,-6879.4851613338815,9,80.216,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,15.0,2,14.846,0.3509,2,34.0694,2,1027.4068,2,1449.74,2,307.685,1,347.3039,1,0.01702337115588405,2,0.017122178373338938,2,0.014961816015070564,2,0.014683680264577097,2,-6879.485161376484,9,73.835,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,16.0,2,15.84,0.3494,2,34.0695,2,1027.4118,2,1449.75,2,307.512,1,347.31692,1,0.018216700222128353,2,0.018289470933864058,2,0.016407221590563303,2,0.01606584326839506,2,-6879.485161380116,9,70.351,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,17.0,2,16.829,0.3478,2,34.0698,2,1027.4171,2,1449.76,2,307.14,1,347.33061,1,0.02073365028298544,2,0.020744997552478876,2,0.015765971667140624,2,0.015453035653475448,2,-6879.485161384479,9,67.172,2
RUB320161220,49,23,2017-02-05T02:59:53+00:00,-67.100515,167.386651666667,18.0,2,17.818,0.3479,2,34.0699,2,1027.422,2,1449.78,2,307.402,1,347.32977,1,0.01866923752213934,2,0.018731595900259627,2,0.017677411404192718,2,0.017277982825397373,2,-6879.4851613845085,9,62.851,2
