CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE02
EVENTNBR = 1557
STNNBR = 59
CASTNO = 29
CASTTYPE = downcast
BOTTOM_DATE = 20170211
BOTTOM_TIME = 1016
BOTTOM_LATITUDE = -72.994835
BOTTOM_LONGITUDE = -127.839278333333
BOTTOM_DEPTH = 825
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,5.0,2,4.951,0.3066,2,33.1057,2,1026.5857,2,1448.09,2,337.212,1,350.31772,1,9.023921371794392,2,7.682499780951924,2,10.838052985631373,2,9.050437240511519,2,-6879.485159017328,9,0.34182,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,6.0,2,5.939,0.3262,2,33.097,2,1026.5826,2,1448.19,2,340.632,1,350.16257,1,8.914040778301393,2,7.5914245611644,2,10.838052985631373,2,9.050437240511519,2,-6879.485158951287,9,0.26132,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,7.0,2,6.931,0.3443,2,33.0983,2,1026.5878,2,1448.29,2,341.221,1,349.99485,1,8.888879280202785,2,7.570565109883242,2,10.838052985631373,2,9.050437240511519,2,-6879.485158914303,9,0.17997,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,8.0,2,7.918,0.3431,2,33.1032,2,1026.5965,2,1448.31,2,341.364,1,349.99227,1,8.957210845008971,2,7.627209880286843,2,10.838052985631373,2,9.050437240511519,2,-6879.48515892955,9,0.12423,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,9.0,2,8.906,0.348,2,33.0986,2,1026.5973,2,1448.34,2,341.307,1,349.96034,1,9.10779950278548,2,7.752002842651223,2,10.838052985631373,2,9.050437240511519,2,-6879.485158906835,9,0.088668,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,10.0,2,9.895,0.3442,2,33.1023,2,1026.605,2,1448.34,2,342.097,1,349.98486,1,9.07658371529135,2,7.726138825775434,2,10.838052985631373,2,9.050437240511519,2,-6879.485158924791,9,0.066571,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,11.0,2,10.889,0.2551,2,33.1428,2,1026.6447,2,1448.0,2,342.92,1,350.68578,1,8.712459412959392,2,7.424264711105615,2,10.838052985631373,2,9.050437240511519,2,-6879.4851592276655,9,0.047704,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,12.0,2,11.877,0.0812,2,33.1827,2,1026.6867,2,1447.26,2,342.512,1,352.16925,1,8.88915528887732,2,7.570793935824762,2,10.838052985631373,2,9.050437240511519,2,-6879.485159721291,9,0.034412,2
RUB320161220,59,29,2017-02-11T10:16:02+00:00,-72.994835,-127.839278333333,13.0,2,12.865,0.0454,2,33.1861,2,1026.6964,2,1447.12,2,338.852,1,352.4885,1,9.20186015667086,2,7.829923117084177,2,10.838052985631373,2,9.050437240511519,2,-6879.485159811015,9,0.026141,2
