CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE02
EVENTNBR = 1753
STNNBR = 70
CASTNO = 32
CASTTYPE = downcast
BOTTOM_DATE = 20170216
BOTTOM_TIME = 1548
BOTTOM_LATITUDE = -68.0102216666667
BOTTOM_LONGITUDE = -82.0329116666667
BOTTOM_DEPTH = 401.556
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,5.0,2,4.953,2.0612,2,33.7879,2,1027.019,2,1456.85,2,305.532,1,333.2149,1,0.0688683409061806,2,0.12407168175097401,2,0.05247310659314585,2,0.12367872860239172,2,-6879.48515699192,9,129.59,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,6.0,2,5.936,2.0578,2,33.7759,2,1027.0144,2,1456.84,2,309.202,1,333.27397,1,0.07264868481330873,2,0.12407168175097401,2,0.05329426764096909,2,0.12367872860239172,2,-6879.485156968889,9,124.14,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,7.0,2,6.931,2.0453,2,33.7775,2,1027.0211,2,1456.8,2,308.907,1,333.37419,1,0.06961054802903502,2,0.12407168175097401,2,0.051492018499928176,2,0.12367872860239172,2,-6879.485156998507,9,108.63,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,8.0,2,7.921,2.0232,2,33.7802,2,1027.0296,2,1456.72,2,309.44,1,333.55172,1,0.07711596335663674,2,0.12407168175097401,2,0.06001653077400931,2,0.12367872860239172,2,-6879.485157050595,9,96.645,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,9.0,2,8.903,2.0301,2,33.7764,2,1027.0313,2,1456.77,2,309.841,1,333.50378,1,0.078180821858142,2,0.12407168175097401,2,0.06645260078194831,2,0.12367872860239172,2,-6879.485157026931,9,87.04,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,10.0,2,9.905,2.0044,2,33.7818,2,1027.0417,2,1456.68,2,310.153,1,333.70585,1,0.08191510687731214,2,0.12407168175097401,2,0.06371715550999002,2,0.12367872860239172,2,-6879.485157093207,9,84.081,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,11.0,2,10.888,2.0046,2,33.7816,2,1027.0466,2,1456.69,2,309.377,1,333.70413,1,0.08418375593046795,2,0.12407168175097401,2,0.06921027041801822,2,0.12367872860239172,2,-6879.485157092296,9,75.028,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,12.0,2,11.881,2.023,2,33.7785,2,1027.0479,2,1456.79,2,310.044,1,333.55762,1,0.09324928374967785,2,0.12407168175097401,2,0.07641525777697583,2,0.12367872860239172,2,-6879.4851570467545,9,69.93,2
RUB320161220,70,32,2017-02-16T15:48:16+00:00,-68.0102216666667,-82.0329116666667,13.0,2,12.877,2.0626,2,33.7634,2,1027.0374,2,1456.96,2,309.012,1,333.26537,1,0.08039490403097319,2,0.12407168175097401,2,0.06522152625946981,2,0.12367872860239172,2,-6879.485156927806,9,65.351,2
