CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE01
EVENTNBR = 401
STNNBR = 21
CASTNO = 10
CASTTYPE = upcast
BOTTOM_DATE = 20170114
BOTTOM_TIME = 0234
BOTTOM_LATITUDE = -53.1985733333333
BOTTOM_LONGITUDE = 118.128166666667
BOTTOM_DEPTH = 990.749
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,4.0,2,3.895,5.4737,2,33.9265,2,1026.7873,2,1471.35,2,284.837,1,306.41397,1,0.02833462504857193,2,0.18725650239688021,2,0.01887966462859947,2,0.1695133402937828,2,-6879.485150961416,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,5.0,2,4.951,5.471,2,33.926,2,1026.792,2,1471.35,2,283.21,1,306.43389,1,0.030594595193818016,2,0.18725650239688021,2,0.02131582626792002,2,0.1695133402937828,2,-6879.485150964776,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,6.0,2,5.943,5.4707,2,33.9257,2,1026.7964,2,1471.37,2,283.891,1,306.43705,1,0.03160723994481203,2,0.18725650239688021,2,0.02299491404045403,2,0.1695133402937828,2,-6879.48515096456,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,7.0,2,6.945,5.4712,2,33.9253,2,1026.8007,2,1471.39,2,283.437,1,306.43441,1,0.03351051606177074,2,0.18725650239688021,2,0.029367176880690717,2,0.1695133402937828,2,-6879.485150962747,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,8.0,2,7.928,5.4697,2,33.9257,2,1026.8058,2,1471.4,2,284.192,1,306.44413,1,0.03407445333874068,2,0.18725650239688021,2,0.02330485177053912,2,0.1695133402937828,2,-6879.485150966251,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,9.0,2,8.92,5.4673,2,33.9254,2,1026.8105,2,1471.4,2,283.068,1,306.46184,1,0.034983102009983745,2,0.18725650239688021,2,0.025047766614463823,2,0.1695133402937828,2,-6879.485150969587,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,10.0,2,9.913,5.4653,2,33.9258,2,1026.8156,2,1471.41,2,283.688,1,306.4759,1,0.036205908602576324,2,0.18725650239688021,2,0.025253707581997863,2,0.1695133402937828,2,-6879.485150973938,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,11.0,2,10.9,5.466,2,33.9257,2,1026.8201,2,1471.43,2,283.922,1,306.47072,1,0.040296877546450914,2,0.18725650239688021,2,0.02443648618533229,2,0.1695133402937828,2,-6879.485150972511,9,1e-12,2
RUB320161220,21,10,2017-01-14T02:34:21+00:00,-53.1985733333333,118.128166666667,12.0,2,11.895,5.4647,2,33.9256,2,1026.8248,2,1471.44,2,283.906,1,306.48034,1,0.04078862554347732,2,0.18725650239688021,2,0.03046989073430756,2,0.1695133402937828,2,-6879.48515097447,9,1e-12,2
