CTD,20190916CURRSGCMR
# The Antarctic Circumnavigation Expedition was made possible by funding from the Swiss Polar Institute and Ferring Pharmaceuticals.
# Data license: This dataset is made available under the Open Data Commons Attribution License: http://opendatacommons.org/licenses/by/1.0.
# These data should be cited as: Henry, T., Robinson, C., Haumann, F.A., Thomas, J., Hutchings, J., Schuback, N., Tsukernik, M. and Leonard, K. (2019) Physical and biogeochemical oceanography from Conductivity, Temperature, Depth (CTD) rosette deployments during the Antarctic Circumnavigation Expedition (ACE). (Version 1.0), [Data set]. Zenodo. https://doi.org/10.5281/zenodo.3247384
# Depth in salt water in meters from pressure in decibars using latitude as input to calculate local gravity as per Fofonoff & Millard Jnr 1983 Unesco Techical Report in Marine Science no.44
NUMBER_HEADERS = 12
EXPOCODE = RUB320161220
SECT_ID = ACE03
EVENTNBR = 2652
STNNBR = 92
CASTNO = 6
CASTTYPE = upcast
BOTTOM_DATE = 20170309
BOTTOM_TIME = 1151
BOTTOM_LATITUDE = -58.6642116666667
BOTTOM_LONGITUDE = -14.00784
BOTTOM_DEPTH = 992.263
EXPOCODE,STNNBR,CASTNO,DATETIME_UTC,LATITUDE,LONGITUDE,CTDPRS,CTDPRS_FLAG_W,DEPTH,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDDENS,CTDDENS_FLAG_W,CTDSOUND,CTDSOUND_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDOXYSAT,CTDOXYSAT_FLAG_W,CTDFLUOR1,CTDFLUOR1_FLAG_W,CTDFLUOR1Q,CTDFLUOR1Q_FLAG_W,CTDFLUOR2,CTDFLUOR2_FLAG_W,CTDFLUOR2Q,CTDFLUOR2Q_FLAG_W,BACKSC,BACKSC_FLAG_W,PAR,PAR_FLAG_W
,,,YYYY-MM-DDTHH:MM:SS+HH:MM,N,E,DBAR,FLAG,METERS,ITS-90,FLAG,PSS-78,FLAG,KG/M^2,FLAG,M/S,FLAG,UMOL/KG,FLAG,UMOL/KG,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,MG/M^3,FLAG,1/M,FLAG,UMOL/M^2/S,FLAG
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,1.0,2,0.99,2.0249,4,18.0224,4,1014.3916,4,1436.02,4,329.705,4,377.87848,4,-999,9,-999,9,0.012101521989668122,4,0.481051637010282,4,0.007057477521261475,4,-999,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,2.0,2,1.976,2.0293,2,33.6976,3,1026.9357,3,1456.55,3,313.551,1,333.7118,1,-999,9,-999,9,0.026593440126312203,2,0.481051637010282,2,0.00011675814864663429,3,-999,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,3.0,2,2.973,2.0263,2,33.6972,2,1026.9403,2,1456.55,2,313.262,1,333.73845,1,-999,9,-999,9,0.026125317959184765,2,0.481051637010282,2,0.0001452005986896846,3,-999,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,4.0,2,3.969,2.0237,2,33.6974,2,1026.9453,2,1456.55,2,313.488,1,333.75968,1,-999,9,-999,9,0.026570826377060035,2,0.481051637010282,2,0.00015816180379264722,3,-999,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,5.0,2,4.946,2.016,2,33.6981,2,1026.951,2,1456.54,2,313.521,1,333.82233,1,-999,9,-999,9,0.03164332601904986,2,0.481051637010282,2,0.00016265483196962704,3,363.76,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,6.0,2,5.943,2.0119,2,33.6978,2,1026.9561,2,1456.53,2,313.191,1,333.85693,1,-999,9,-999,9,0.049233717614984726,2,0.481051637010282,2,0.00027621031707491584,3,363.66,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,7.0,2,6.929,2.0028,2,33.6975,2,1026.9613,2,1456.51,2,314.038,1,333.93417,1,-999,9,-999,9,0.04274174357710272,2,0.481051637010282,2,0.000417225271727177,3,-999,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,8.0,2,7.928,1.9965,2,33.6973,2,1026.9662,2,1456.5,2,313.423,1,333.98739,1,-999,9,-999,9,0.0624575170334405,2,0.481051637010282,2,0.00048655859418778903,3,-999,4
RUB320161220,92,6,2017-03-09T11:51:27+00:00,-58.6642116666667,-14.00784,9.0,2,8.916,1.993,2,33.6979,2,1026.9716,2,1456.5,2,313.305,1,334.01596,1,-999,9,-999,9,0.06378466350779864,2,0.481051637010282,2,0.00047043579520674735,3,-999,4
